RT @sns_srbija: Александар #Vucic @avucic: Донели сте велику радост Србији https://t.co/6f67czTN9V https://t.co/qV22iGEF4U,1
RT @Dr_A_N_A: @MilenkoJovanov A Djilas je sef zato sta krade sa obe ruke 😂,1
@taxpayer_rs Ovu vlast sa DOS-om i Vucicem mozemo da uporedimo sa vlascu Milana Nedica.,0
RT @sanjal23: VUČIĆ-na-svečanom-dočeku-zlatih-delfina:-Daćemo-za-vaterpolo-više-novca-neko-ikada-do-sada https://t.co/pqfc3YAWvB,1
"Ova vlast vidi javni novac kao svoj
Pa kada ""daju"" nekom nešto od tog javnog novca, kapiraju kao da su dali novac koji su sami zaradili
I očekuju bespogovornu poslušnost
Zato sada idu napadi na Teodosija i Savu, Dečance
Ljude koji su sačuvali najveću sprsku svetinju",0
"Srbija je za kratko vreme stvorila modernu i dobro opremljenu armiju,sposobnu da odgovori na sve bezbedonosne izazove.Novi MIG 29 ce postati pouzdani cuvari naseg neba a kopnena vojska garant teritorijalnog integriteta zemlje! https://t.co/5cNV2oEQa8",1
"SNS nižući pobede nastavlja u svom stilu, a opozicija bi nakon još jednog debakla zaista trebalo debelo da razmisli o svojim daljim političkim koracima, jer priča koju su do sada pokušavali da proguraju im očigledno nije prošla. https://t.co/0G32I8eSff",1
RT @avucic: Ко помисли да му је Србија лака мета да прогута кнедлу и да види да ће наићи на жесток отпор. #Nikinci https://t.co/Xk56MNYbWO,1
"Za pet godina na čelu grada, Đilas je kupio za GSP preko 300 vozila
Ova vlast za 5 godina oko 50 vozila (ako je bilo i toliko)
Važno da su prefarbavali vozila da nas ""na Zvezdu podseća""
Ali, cepaju, popoločavaju, preslažu kocku, otvaraju kafiće... sve za turiste",0
"RT @PajticBojan: Gradonačelnik Bg otvorio 3 kućice za vrapce. Žute. Što je dokaz da je i bivša vlast to mogla, ali nisu voleli Srbiju https…",0
"@OkKaoOsoba @InformerNovine Sta je ovde strasno, bolesniku DJV. Svi koji je imaju su prinudjeni od strane Srbije. Sta je sa sudijama koje je Srbija integrisala u sistem Kosova? Mislite da su moi bez dokumenata? Sto se vlast nije izborila za reg tablice gradova sa KiM? Mislite da mogu dole reg vozilo bez dok",0
"@nata_cvet Ne izbacuju iz Komore ako nećeš da štrajkuješ. Kad je bio štrajk protiv notara, najduži i najmasovniji štrajk, nije izbačen ni jedan advokat, a znam da su neki SNS adv. radili punom parom.",0
"@MilenkoJovanov A sto bi raspisivali izbore?!! Vlada je stabilna, otvaraju se poglavlja, suficit, stabilan privredni rast, opozicija smesno mala... Referendum? Koje pitanje? Ko kaze da ce ga biti? O cemu? Uostalom, referendum moze bez izbora. Doziva izbore a svi zajedno nemaju pola glasova SNS",1
"@MilenkoJovanov Znam, ne mislis valjda da sam ovo zbog njega napisao. Samo da oni koji citaju vide koliko je jadna opozicija! Srbija NIKADA nije imala jadniju opoziciju. Svi na gomilu kada se skupe, nisu alternativa. Ama bas nista ne znaju",1
Mars u opoziciji. Vlast lobira u ostatku galaksije.,0
"Да се говнар стави у замрзивач. Мораторијум на зајебавање Вучића. 
Не иде, тузланска гузице. Неће моћи. 
Али може нешто друго: и ти и Вучић да идете у пичку материну. Ту би постигли прави консезус.",0
RT @sns_srbija: Стефановић @NesaStefanovic: Вучић покушава да избори немогуће за КиМ https://t.co/26LTBY9uRs,1
